DCS_TAG,TagComment,Type,ITEM,ItemComment,RangeHI,RangeLO,UNIT,DataType,Array1,Array2,MarType,Process,VM_UNIT,VAR,VMArray1
,,,,,,,,,,,,,,,
S063T00313FUG,'FIRST,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200501S2608,B,30
S063L00115FUM,'FIRST,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200501S2608,B,28
S2611_ALRM_CLS3,'CLASS3,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200101S2611,B,9
SCS2611DI,'SERIAL,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200501S2611,B,2
S063TZTM00315,'LL,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200501S2611,B,31
S063LZTG00117,'HH,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200701S2611,B,4
S063HS01317_035,'MOS,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200901S2611,B,12
S063HSM01317_035,'MOS,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200901S2611,B,11
S2620_DIAG_OTER,'OTHER,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200101S2620,B,5
S2620_N3_NRL,'N3,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200101S2620,B,17
S2620_N2S7,'N2S7,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200301S2620,B,14
S2620_N4S5,'N4S5,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200301S2620,B,30
S2620_N3S6,'N3S6,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200301S2620,B,22
S2620_N5S4,'N5S4,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200501S2620,B,6
S063XZAF00505,'LOOP,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB201701S2620,B,25
063XZ00504,'BOG,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB201701S2620,B,22
S3101_ALRM_CLS2,'CLASS2,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200101S3101,B,8
S3101_N3_NRL,'N,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200101S3101,B,17
S050EZT01014,'TRIP',PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200301S3101,B,16
S046EZRR01015,'READY,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200301S3101,B,28
S3103_N2_NRR,'N2,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200101S3103,B,16
S063LZTM01041,'LEVEL,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200501S3103,B,4
S047HSMF00427,'MOS,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200501S3103,B,28
S3119_N1S1,'N1S1,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200101S3119,B,23
S3119_N3_NRR,'N3,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200301S3119,B,8
S071UZRR03001,'READY,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200501S3119,B,31
S071SDPG05100,'SDV,PVI,PV,'Com.DI',1,0,2,0,0,1,200,DB2,WB200701S3119,B,15
